gene,drugGene,value
UGT1A4,IMATINIB,16.0
UGT1A5,IMATINIB,16.0
SFTPA1,IMATINIB,16.0
PTPRC,IMATINIB,16.0
TSC1,IMATINIB,16.0
PIK3CB,IMATINIB,16.0
BTK,IMATINIB,16.0
LIMK1,IMATINIB,24.0
UGT1A8,IMATINIB,24.0
UGT1A6,IMATINIB,24.0
PIK3R2,IMATINIB,24.0
ATXN2,IMATINIB,24.0
FYN,IMATINIB,32.0
ATP7A,IMATINIB,32.0
NQO1,IMATINIB,40.0
PIK3CG,IMATINIB,40.0
JAK2,IMATINIB,40.0
LCK,IMATINIB,40.0
TUBA3C,IMATINIB,48.0
NRAS,IMATINIB,48.0
MTOR,IMATINIB,48.0
TUBB4A,IMATINIB,48.0
LYN,IMATINIB,56.0
HRAS,IMATINIB,64.0
UGT1A1,IMATINIB,64.0
TUBA3E,IMATINIB,64.0
TUBA3D,IMATINIB,64.0
TUBA1C,IMATINIB,64.0
TUBA1B,IMATINIB,64.0
TUBA1A,IMATINIB,64.0
SRC,IMATINIB,64.0
TUBB8,IMATINIB,64.0
TUBB6,IMATINIB,64.0
TUBA4A,IMATINIB,64.0
TUBB2A,IMATINIB,64.0
TUBB2B,IMATINIB,64.0
TUBB4B,IMATINIB,64.0
TUBB3,IMATINIB,72.0
YES1,IMATINIB,72.0
AKT1,IMATINIB,88.0
TUBB1,IMATINIB,88.0
MET,IMATINIB,112.0
PTEN,IMATINIB,152.0
TYMS,IMATINIB,168.0
PIK3CA,IMATINIB,200.0
KRAS,IMATINIB,232.0
ACTB,IBRUTINIB,8.0
PRKD3,IBRUTINIB,8.0
AKT2,IBRUTINIB,16.0
UGT1A4,IBRUTINIB,16.0
UGT1A5,IBRUTINIB,16.0
SFTPA1,IBRUTINIB,16.0
PTPRC,IBRUTINIB,16.0
TSC1,IBRUTINIB,16.0
PIK3CB,IBRUTINIB,16.0
BTK,IBRUTINIB,16.0
LIMK1,IBRUTINIB,24.0
UGT1A8,IBRUTINIB,24.0
UGT1A6,IBRUTINIB,24.0
PIK3R2,IBRUTINIB,24.0
ATXN2,IBRUTINIB,24.0
FYN,IBRUTINIB,32.0
ATP7A,IBRUTINIB,32.0
NQO1,IBRUTINIB,40.0
PIK3CG,IBRUTINIB,40.0
JAK2,IBRUTINIB,40.0
LCK,IBRUTINIB,40.0
TUBA3C,IBRUTINIB,48.0
NRAS,IBRUTINIB,48.0
MTOR,IBRUTINIB,48.0
TUBB4A,IBRUTINIB,48.0
LYN,IBRUTINIB,56.0
HRAS,IBRUTINIB,64.0
UGT1A1,IBRUTINIB,64.0
TUBA3E,IBRUTINIB,64.0
TUBA3D,IBRUTINIB,64.0
TUBA1C,IBRUTINIB,64.0
TUBA1B,IBRUTINIB,64.0
TUBA1A,IBRUTINIB,64.0
SRC,IBRUTINIB,64.0
TUBB8,IBRUTINIB,64.0
TUBB6,IBRUTINIB,64.0
TUBA4A,IBRUTINIB,64.0
TUBB2A,IBRUTINIB,64.0
TUBB2B,IBRUTINIB,64.0
TUBB4B,IBRUTINIB,64.0
TUBB3,IBRUTINIB,72.0
YES1,IBRUTINIB,72.0
AKT1,IBRUTINIB,88.0
TUBB1,IBRUTINIB,88.0
MET,IBRUTINIB,112.0
PTEN,IBRUTINIB,152.0
TYMS,IBRUTINIB,168.0
PIK3CA,IBRUTINIB,200.0
KRAS,IBRUTINIB,232.0
ACTB,PAZOPANIB,8.0
PRKD3,PAZOPANIB,8.0
AKT2,PAZOPANIB,16.0
UGT1A4,PAZOPANIB,16.0
UGT1A5,PAZOPANIB,16.0
SFTPA1,PAZOPANIB,16.0
PTPRC,PAZOPANIB,16.0
TSC1,PAZOPANIB,16.0
PIK3CB,PAZOPANIB,16.0
BTK,PAZOPANIB,16.0
LIMK1,PAZOPANIB,24.0
UGT1A8,PAZOPANIB,24.0
UGT1A6,PAZOPANIB,24.0
PIK3R2,PAZOPANIB,24.0
ATXN2,PAZOPANIB,24.0
FYN,PAZOPANIB,32.0
ATP7A,PAZOPANIB,32.0
NQO1,PAZOPANIB,40.0
PIK3CG,PAZOPANIB,40.0
JAK2,PAZOPANIB,40.0
LCK,PAZOPANIB,40.0
TUBA3C,PAZOPANIB,48.0
NRAS,PAZOPANIB,48.0
MTOR,PAZOPANIB,48.0
TUBB4A,PAZOPANIB,48.0
LYN,PAZOPANIB,56.0
HRAS,PAZOPANIB,64.0
UGT1A1,PAZOPANIB,64.0
TUBA3E,PAZOPANIB,64.0
TUBA3D,PAZOPANIB,64.0
TUBA1C,PAZOPANIB,64.0
TUBA1B,PAZOPANIB,64.0
TUBA1A,PAZOPANIB,64.0
SRC,PAZOPANIB,64.0
TUBB8,PAZOPANIB,64.0
TUBB6,PAZOPANIB,64.0
TUBA4A,PAZOPANIB,64.0
TUBB2A,PAZOPANIB,64.0
TUBB2B,PAZOPANIB,64.0
TUBB4B,PAZOPANIB,64.0
TUBB3,PAZOPANIB,72.0
YES1,PAZOPANIB,72.0
AKT1,PAZOPANIB,88.0
TUBB1,PAZOPANIB,88.0
MET,PAZOPANIB,112.0
PTEN,PAZOPANIB,152.0
TYMS,PAZOPANIB,168.0
PIK3CA,PAZOPANIB,200.0
KRAS,PAZOPANIB,232.0
ACTB,GEMCITABINE,9.0
PRKD3,GEMCITABINE,9.0
AKT2,GEMCITABINE,18.0
UGT1A4,GEMCITABINE,18.0
UGT1A5,GEMCITABINE,18.0
SFTPA1,GEMCITABINE,18.0
PTPRC,GEMCITABINE,18.0
TSC1,GEMCITABINE,18.0
PIK3CB,GEMCITABINE,18.0
BTK,GEMCITABINE,18.0
LIMK1,GEMCITABINE,27.0
UGT1A8,GEMCITABINE,27.0
UGT1A6,GEMCITABINE,27.0
PIK3R2,GEMCITABINE,27.0
ATXN2,GEMCITABINE,27.0
FYN,GEMCITABINE,36.0
ATP7A,GEMCITABINE,36.0
NQO1,GEMCITABINE,45.0
PIK3CG,GEMCITABINE,45.0
JAK2,GEMCITABINE,45.0
LCK,GEMCITABINE,45.0
TUBA3C,GEMCITABINE,54.0
NRAS,GEMCITABINE,54.0
MTOR,GEMCITABINE,54.0
TUBB4A,GEMCITABINE,54.0
LYN,GEMCITABINE,63.0
HRAS,GEMCITABINE,72.0
UGT1A1,GEMCITABINE,72.0
TUBA3E,GEMCITABINE,72.0
TUBA3D,GEMCITABINE,72.0
TUBA1C,GEMCITABINE,72.0
TUBA1B,GEMCITABINE,72.0
TUBA1A,GEMCITABINE,72.0
SRC,GEMCITABINE,72.0
TUBB8,GEMCITABINE,72.0
TUBB6,GEMCITABINE,72.0
TUBA4A,GEMCITABINE,72.0
TUBB2A,GEMCITABINE,72.0
TUBB2B,GEMCITABINE,72.0
TUBB4B,GEMCITABINE,72.0
TUBB3,GEMCITABINE,81.0
YES1,GEMCITABINE,81.0
AKT1,GEMCITABINE,99.0
TUBB1,GEMCITABINE,99.0
MET,GEMCITABINE,126.0
PTEN,GEMCITABINE,171.0
TYMS,GEMCITABINE,189.0
PIK3CA,GEMCITABINE,225.0
KRAS,GEMCITABINE,261.0
ACTB,CARBOPLATIN,9.0
PRKD3,CARBOPLATIN,9.0
AKT2,CARBOPLATIN,18.0
UGT1A4,CARBOPLATIN,18.0
UGT1A5,CARBOPLATIN,18.0
SFTPA1,CARBOPLATIN,18.0
PTPRC,CARBOPLATIN,18.0
TSC1,CARBOPLATIN,18.0
PIK3CB,CARBOPLATIN,18.0
BTK,CARBOPLATIN,18.0
LIMK1,CARBOPLATIN,27.0
UGT1A8,CARBOPLATIN,27.0
UGT1A6,CARBOPLATIN,27.0
PIK3R2,CARBOPLATIN,27.0
ATXN2,CARBOPLATIN,27.0
FYN,CARBOPLATIN,36.0
ATP7A,CARBOPLATIN,36.0
NQO1,CARBOPLATIN,45.0
PIK3CG,CARBOPLATIN,45.0
JAK2,CARBOPLATIN,45.0
LCK,CARBOPLATIN,45.0
TUBA3C,CARBOPLATIN,54.0
NRAS,CARBOPLATIN,54.0
MTOR,CARBOPLATIN,54.0
TUBB4A,CARBOPLATIN,54.0
LYN,CARBOPLATIN,63.0
HRAS,CARBOPLATIN,72.0
UGT1A1,CARBOPLATIN,72.0
TUBA3E,CARBOPLATIN,72.0
TUBA3D,CARBOPLATIN,72.0
TUBA1C,CARBOPLATIN,72.0
TUBA1B,CARBOPLATIN,72.0
TUBA1A,CARBOPLATIN,72.0
SRC,CARBOPLATIN,72.0
TUBB8,CARBOPLATIN,72.0
TUBB6,CARBOPLATIN,72.0
TUBA4A,CARBOPLATIN,72.0
TUBB2A,CARBOPLATIN,72.0
TUBB2B,CARBOPLATIN,72.0
TUBB4B,CARBOPLATIN,72.0
TUBB3,CARBOPLATIN,81.0
YES1,CARBOPLATIN,81.0
AKT1,CARBOPLATIN,99.0
TUBB1,CARBOPLATIN,99.0
MET,CARBOPLATIN,126.0
PTEN,CARBOPLATIN,171.0
TYMS,CARBOPLATIN,189.0
PIK3CA,CARBOPLATIN,225.0
KRAS,CARBOPLATIN,261.0
ACTB,METHOTREXATE,9.0
PRKD3,METHOTREXATE,9.0
AKT2,METHOTREXATE,18.0
UGT1A4,METHOTREXATE,18.0
UGT1A5,METHOTREXATE,18.0
SFTPA1,METHOTREXATE,18.0
PTPRC,METHOTREXATE,18.0
TSC1,METHOTREXATE,18.0
PIK3CB,METHOTREXATE,18.0
BTK,METHOTREXATE,18.0
LIMK1,METHOTREXATE,27.0
UGT1A8,METHOTREXATE,27.0
UGT1A6,METHOTREXATE,27.0
PIK3R2,METHOTREXATE,27.0
ATXN2,METHOTREXATE,27.0
FYN,METHOTREXATE,36.0
ATP7A,METHOTREXATE,36.0
NQO1,METHOTREXATE,45.0
PIK3CG,METHOTREXATE,45.0
JAK2,METHOTREXATE,45.0
LCK,METHOTREXATE,45.0
TUBA3C,METHOTREXATE,54.0
NRAS,METHOTREXATE,54.0
MTOR,METHOTREXATE,54.0
TUBB4A,METHOTREXATE,54.0
LYN,METHOTREXATE,63.0
HRAS,METHOTREXATE,72.0
UGT1A1,METHOTREXATE,72.0
TUBA3E,METHOTREXATE,72.0
TUBA3D,METHOTREXATE,72.0
TUBA1C,METHOTREXATE,72.0
TUBA1B,METHOTREXATE,72.0
TUBA1A,METHOTREXATE,72.0
SRC,METHOTREXATE,72.0
TUBB8,METHOTREXATE,72.0
TUBB6,METHOTREXATE,72.0
TUBA4A,METHOTREXATE,72.0
TUBB2A,METHOTREXATE,72.0
TUBB2B,METHOTREXATE,72.0
TUBB4B,METHOTREXATE,72.0
TUBB3,METHOTREXATE,81.0
YES1,METHOTREXATE,81.0
AKT1,METHOTREXATE,99.0
TUBB1,METHOTREXATE,99.0
MET,METHOTREXATE,126.0
PTEN,METHOTREXATE,171.0
TYMS,METHOTREXATE,189.0
PIK3CA,METHOTREXATE,225.0
KRAS,METHOTREXATE,261.0
ACTB,FLUOROURACIL,9.0
PRKD3,FLUOROURACIL,9.0
AKT2,FLUOROURACIL,18.0
UGT1A4,FLUOROURACIL,18.0
UGT1A5,FLUOROURACIL,18.0
SFTPA1,FLUOROURACIL,18.0
PTPRC,FLUOROURACIL,18.0
TSC1,FLUOROURACIL,18.0
PIK3CB,FLUOROURACIL,18.0
BTK,FLUOROURACIL,18.0
LIMK1,FLUOROURACIL,27.0
UGT1A8,FLUOROURACIL,27.0
UGT1A6,FLUOROURACIL,27.0
PIK3R2,FLUOROURACIL,27.0
ATXN2,FLUOROURACIL,27.0
FYN,FLUOROURACIL,36.0
ATP7A,FLUOROURACIL,36.0
NQO1,FLUOROURACIL,45.0
PIK3CG,FLUOROURACIL,45.0
JAK2,FLUOROURACIL,45.0
LCK,FLUOROURACIL,45.0
TUBA3C,FLUOROURACIL,54.0
NRAS,FLUOROURACIL,54.0
MTOR,FLUOROURACIL,54.0
TUBB4A,FLUOROURACIL,54.0
LYN,FLUOROURACIL,63.0
HRAS,FLUOROURACIL,72.0
UGT1A1,FLUOROURACIL,72.0
TUBA3E,FLUOROURACIL,72.0
TUBA3D,FLUOROURACIL,72.0
TUBA1C,FLUOROURACIL,72.0
TUBA1B,FLUOROURACIL,72.0
TUBA1A,FLUOROURACIL,72.0
SRC,FLUOROURACIL,72.0
TUBB8,FLUOROURACIL,72.0
TUBB6,FLUOROURACIL,72.0
TUBA4A,FLUOROURACIL,72.0
TUBB2A,FLUOROURACIL,72.0
TUBB2B,FLUOROURACIL,72.0
TUBB4B,FLUOROURACIL,72.0
TUBB3,FLUOROURACIL,81.0
YES1,FLUOROURACIL,81.0
AKT1,FLUOROURACIL,99.0
TUBB1,FLUOROURACIL,99.0
MET,FLUOROURACIL,126.0
PTEN,FLUOROURACIL,171.0
TYMS,FLUOROURACIL,189.0
PIK3CA,FLUOROURACIL,225.0
KRAS,FLUOROURACIL,261.0
ACTB,PALBOCICLIB,9.0
PRKD3,PALBOCICLIB,9.0
AKT2,PALBOCICLIB,18.0
UGT1A4,PALBOCICLIB,18.0
UGT1A5,PALBOCICLIB,18.0
SFTPA1,PALBOCICLIB,18.0
PTPRC,PALBOCICLIB,18.0
TSC1,PALBOCICLIB,18.0
PIK3CB,PALBOCICLIB,18.0
BTK,PALBOCICLIB,18.0
LIMK1,PALBOCICLIB,27.0
UGT1A8,PALBOCICLIB,27.0
UGT1A6,PALBOCICLIB,27.0
PIK3R2,PALBOCICLIB,27.0
ATXN2,PALBOCICLIB,27.0
FYN,PALBOCICLIB,36.0
ATP7A,PALBOCICLIB,36.0
NQO1,PALBOCICLIB,45.0
PIK3CG,PALBOCICLIB,45.0
JAK2,PALBOCICLIB,45.0
LCK,PALBOCICLIB,45.0
TUBA3C,PALBOCICLIB,54.0
NRAS,PALBOCICLIB,54.0
MTOR,PALBOCICLIB,54.0
TUBB4A,PALBOCICLIB,54.0
LYN,PALBOCICLIB,63.0
HRAS,PALBOCICLIB,72.0
UGT1A1,PALBOCICLIB,72.0
TUBA3E,PALBOCICLIB,72.0
TUBA3D,PALBOCICLIB,72.0
TUBA1C,PALBOCICLIB,72.0
TUBA1B,PALBOCICLIB,72.0
TUBA1A,PALBOCICLIB,72.0
SRC,PALBOCICLIB,72.0
TUBB8,PALBOCICLIB,72.0
TUBB6,PALBOCICLIB,72.0
TUBA4A,PALBOCICLIB,72.0
TUBB2A,PALBOCICLIB,72.0
TUBB2B,PALBOCICLIB,72.0
TUBB4B,PALBOCICLIB,72.0
TUBB3,PALBOCICLIB,81.0
YES1,PALBOCICLIB,81.0
AKT1,PALBOCICLIB,99.0
TUBB1,PALBOCICLIB,99.0
MET,PALBOCICLIB,126.0
PTEN,PALBOCICLIB,171.0
TYMS,PALBOCICLIB,189.0
PIK3CA,PALBOCICLIB,225.0
KRAS,PALBOCICLIB,261.0
ACTB,SORAFENIB,10.0
PRKD3,SORAFENIB,10.0
AKT2,SORAFENIB,20.0
UGT1A4,SORAFENIB,20.0
UGT1A5,SORAFENIB,20.0
SFTPA1,SORAFENIB,20.0
PTPRC,SORAFENIB,20.0
TSC1,SORAFENIB,20.0
PIK3CB,SORAFENIB,20.0
BTK,SORAFENIB,20.0
LIMK1,SORAFENIB,30.0
UGT1A8,SORAFENIB,30.0
UGT1A6,SORAFENIB,30.0
PIK3R2,SORAFENIB,30.0
ATXN2,SORAFENIB,30.0
FYN,SORAFENIB,40.0
ATP7A,SORAFENIB,40.0
NQO1,SORAFENIB,50.0
PIK3CG,SORAFENIB,50.0
JAK2,SORAFENIB,50.0
LCK,SORAFENIB,50.0
TUBA3C,SORAFENIB,60.0
NRAS,SORAFENIB,60.0
MTOR,SORAFENIB,60.0
TUBB4A,SORAFENIB,60.0
LYN,SORAFENIB,70.0
HRAS,SORAFENIB,80.0
UGT1A1,SORAFENIB,80.0
TUBA3E,SORAFENIB,80.0
TUBA3D,SORAFENIB,80.0
TUBA1C,SORAFENIB,80.0
TUBA1B,SORAFENIB,80.0
TUBA1A,SORAFENIB,80.0
SRC,SORAFENIB,80.0
TUBB8,SORAFENIB,80.0
TUBB6,SORAFENIB,80.0
TUBA4A,SORAFENIB,80.0
TUBB2A,SORAFENIB,80.0
TUBB2B,SORAFENIB,80.0
TUBB4B,SORAFENIB,80.0
TUBB3,SORAFENIB,90.0
YES1,SORAFENIB,90.0
AKT1,SORAFENIB,110.0
TUBB1,SORAFENIB,110.0
MET,SORAFENIB,140.0
PTEN,SORAFENIB,190.0
TYMS,SORAFENIB,210.0
PIK3CA,SORAFENIB,250.0
KRAS,SORAFENIB,290.0
ACTB,SIROLIMUS,10.0
PRKD3,SIROLIMUS,10.0
AKT2,SIROLIMUS,20.0
UGT1A4,SIROLIMUS,20.0
UGT1A5,SIROLIMUS,20.0
SFTPA1,SIROLIMUS,20.0
PTPRC,SIROLIMUS,20.0
TSC1,SIROLIMUS,20.0
PIK3CB,SIROLIMUS,20.0
BTK,SIROLIMUS,20.0
LIMK1,SIROLIMUS,30.0
UGT1A8,SIROLIMUS,30.0
UGT1A6,SIROLIMUS,30.0
PIK3R2,SIROLIMUS,30.0
ATXN2,SIROLIMUS,30.0
FYN,SIROLIMUS,40.0
ATP7A,SIROLIMUS,40.0
NQO1,SIROLIMUS,50.0
PIK3CG,SIROLIMUS,50.0
JAK2,SIROLIMUS,50.0
LCK,SIROLIMUS,50.0
TUBA3C,SIROLIMUS,60.0
NRAS,SIROLIMUS,60.0
MTOR,SIROLIMUS,60.0
TUBB4A,SIROLIMUS,60.0
LYN,SIROLIMUS,70.0
HRAS,SIROLIMUS,80.0
UGT1A1,SIROLIMUS,80.0
TUBA3E,SIROLIMUS,80.0
TUBA3D,SIROLIMUS,80.0
TUBA1C,SIROLIMUS,80.0
TUBA1B,SIROLIMUS,80.0
TUBA1A,SIROLIMUS,80.0
SRC,SIROLIMUS,80.0
TUBB8,SIROLIMUS,80.0
TUBB6,SIROLIMUS,80.0
TUBA4A,SIROLIMUS,80.0
TUBB2A,SIROLIMUS,80.0
TUBB2B,SIROLIMUS,80.0
TUBB4B,SIROLIMUS,80.0
TUBB3,SIROLIMUS,90.0
YES1,SIROLIMUS,90.0
AKT1,SIROLIMUS,110.0
TUBB1,SIROLIMUS,110.0
MET,SIROLIMUS,140.0
PTEN,SIROLIMUS,190.0
TYMS,SIROLIMUS,210.0
PIK3CA,SIROLIMUS,250.0
KRAS,SIROLIMUS,290.0
ACTB,CISPLATIN,11.0
PRKD3,CISPLATIN,11.0
AKT2,CISPLATIN,22.0
UGT1A4,CISPLATIN,22.0
UGT1A5,CISPLATIN,22.0
SFTPA1,CISPLATIN,22.0
PTPRC,CISPLATIN,22.0
TSC1,CISPLATIN,22.0
PIK3CB,CISPLATIN,22.0
BTK,CISPLATIN,22.0
LIMK1,CISPLATIN,33.0
UGT1A8,CISPLATIN,33.0
UGT1A6,CISPLATIN,33.0
PIK3R2,CISPLATIN,33.0
ATXN2,CISPLATIN,33.0
FYN,CISPLATIN,44.0
ATP7A,CISPLATIN,44.0
NQO1,CISPLATIN,55.0
PIK3CG,CISPLATIN,55.0
JAK2,CISPLATIN,55.0
LCK,CISPLATIN,55.0
TUBA3C,CISPLATIN,66.0
NRAS,CISPLATIN,66.0
MTOR,CISPLATIN,66.0
TUBB4A,CISPLATIN,66.0
LYN,CISPLATIN,77.0
HRAS,CISPLATIN,88.0
UGT1A1,CISPLATIN,88.0
TUBA3E,CISPLATIN,88.0
TUBA3D,CISPLATIN,88.0
TUBA1C,CISPLATIN,88.0
TUBA1B,CISPLATIN,88.0
TUBA1A,CISPLATIN,88.0
SRC,CISPLATIN,88.0
TUBB8,CISPLATIN,88.0
TUBB6,CISPLATIN,88.0
TUBA4A,CISPLATIN,88.0
TUBB2A,CISPLATIN,88.0
TUBB2B,CISPLATIN,88.0
TUBB4B,CISPLATIN,88.0
TUBB3,CISPLATIN,99.0
YES1,CISPLATIN,99.0
AKT1,CISPLATIN,121.0
TUBB1,CISPLATIN,121.0
MET,CISPLATIN,154.0
PTEN,CISPLATIN,209.0
TYMS,CISPLATIN,231.0
PIK3CA,CISPLATIN,275.0
KRAS,CISPLATIN,319.0
ACTB,CABAZITAXEL,13.0
PRKD3,CABAZITAXEL,13.0
AKT2,CABAZITAXEL,26.0
UGT1A4,CABAZITAXEL,26.0
UGT1A5,CABAZITAXEL,26.0
SFTPA1,CABAZITAXEL,26.0
PTPRC,CABAZITAXEL,26.0
TSC1,CABAZITAXEL,26.0
PIK3CB,CABAZITAXEL,26.0
BTK,CABAZITAXEL,26.0
LIMK1,CABAZITAXEL,39.0
UGT1A8,CABAZITAXEL,39.0
UGT1A6,CABAZITAXEL,39.0
PIK3R2,CABAZITAXEL,39.0
ATXN2,CABAZITAXEL,39.0
FYN,CABAZITAXEL,52.0
ATP7A,CABAZITAXEL,52.0
NQO1,CABAZITAXEL,65.0
PIK3CG,CABAZITAXEL,65.0
JAK2,CABAZITAXEL,65.0
LCK,CABAZITAXEL,65.0
TUBA3C,CABAZITAXEL,78.0
NRAS,CABAZITAXEL,78.0
MTOR,CABAZITAXEL,78.0
TUBB4A,CABAZITAXEL,78.0
LYN,CABAZITAXEL,91.0
HRAS,CABAZITAXEL,104.0
UGT1A1,CABAZITAXEL,104.0
TUBA3E,CABAZITAXEL,104.0
TUBA3D,CABAZITAXEL,104.0
TUBA1C,CABAZITAXEL,104.0
TUBA1B,CABAZITAXEL,104.0
TUBA1A,CABAZITAXEL,104.0
SRC,CABAZITAXEL,104.0
TUBB8,CABAZITAXEL,104.0
TUBB6,CABAZITAXEL,104.0
TUBA4A,CABAZITAXEL,104.0
TUBB2A,CABAZITAXEL,104.0
TUBB2B,CABAZITAXEL,104.0
TUBB4B,CABAZITAXEL,104.0
TUBB3,CABAZITAXEL,117.0
YES1,CABAZITAXEL,117.0
AKT1,CABAZITAXEL,143.0
TUBB1,CABAZITAXEL,143.0
MET,CABAZITAXEL,182.0
PTEN,CABAZITAXEL,247.0
TYMS,CABAZITAXEL,273.0
PIK3CA,CABAZITAXEL,325.0
KRAS,CABAZITAXEL,377.0
ACTB,EVEROLIMUS,13.0
PRKD3,EVEROLIMUS,13.0
AKT2,EVEROLIMUS,26.0
UGT1A4,EVEROLIMUS,26.0
UGT1A5,EVEROLIMUS,26.0
SFTPA1,EVEROLIMUS,26.0
PTPRC,EVEROLIMUS,26.0
TSC1,EVEROLIMUS,26.0
PIK3CB,EVEROLIMUS,26.0
BTK,EVEROLIMUS,26.0
LIMK1,EVEROLIMUS,39.0
UGT1A8,EVEROLIMUS,39.0
UGT1A6,EVEROLIMUS,39.0
PIK3R2,EVEROLIMUS,39.0
ATXN2,EVEROLIMUS,39.0
FYN,EVEROLIMUS,52.0
ATP7A,EVEROLIMUS,52.0
NQO1,EVEROLIMUS,65.0
PIK3CG,EVEROLIMUS,65.0
JAK2,EVEROLIMUS,65.0
LCK,EVEROLIMUS,65.0
TUBA3C,EVEROLIMUS,78.0
NRAS,EVEROLIMUS,78.0
MTOR,EVEROLIMUS,78.0
TUBB4A,EVEROLIMUS,78.0
LYN,EVEROLIMUS,91.0
HRAS,EVEROLIMUS,104.0
UGT1A1,EVEROLIMUS,104.0
TUBA3E,EVEROLIMUS,104.0
TUBA3D,EVEROLIMUS,104.0
TUBA1C,EVEROLIMUS,104.0
TUBA1B,EVEROLIMUS,104.0
TUBA1A,EVEROLIMUS,104.0
SRC,EVEROLIMUS,104.0
TUBB8,EVEROLIMUS,104.0
TUBB6,EVEROLIMUS,104.0
TUBA4A,EVEROLIMUS,104.0
TUBB2A,EVEROLIMUS,104.0
TUBB2B,EVEROLIMUS,104.0
TUBB4B,EVEROLIMUS,104.0
TUBB3,EVEROLIMUS,117.0
YES1,EVEROLIMUS,117.0
AKT1,EVEROLIMUS,143.0
TUBB1,EVEROLIMUS,143.0
MET,EVEROLIMUS,182.0
PTEN,EVEROLIMUS,247.0
TYMS,EVEROLIMUS,273.0
PIK3CA,EVEROLIMUS,325.0
KRAS,EVEROLIMUS,377.0
ACTB,VINBLASTINE,15.0
PRKD3,VINBLASTINE,15.0
AKT2,VINBLASTINE,30.0
UGT1A4,VINBLASTINE,30.0
UGT1A5,VINBLASTINE,30.0
SFTPA1,VINBLASTINE,30.0
PTPRC,VINBLASTINE,30.0
TSC1,VINBLASTINE,30.0
PIK3CB,VINBLASTINE,30.0
BTK,VINBLASTINE,30.0
LIMK1,VINBLASTINE,45.0
UGT1A8,VINBLASTINE,45.0
UGT1A6,VINBLASTINE,45.0
PIK3R2,VINBLASTINE,45.0
ATXN2,VINBLASTINE,45.0
FYN,VINBLASTINE,60.0
ATP7A,VINBLASTINE,60.0
NQO1,VINBLASTINE,75.0
PIK3CG,VINBLASTINE,75.0
JAK2,VINBLASTINE,75.0
LCK,VINBLASTINE,75.0
TUBA3C,VINBLASTINE,90.0
NRAS,VINBLASTINE,90.0
MTOR,VINBLASTINE,90.0
TUBB4A,VINBLASTINE,90.0
LYN,VINBLASTINE,105.0
HRAS,VINBLASTINE,120.0
UGT1A1,VINBLASTINE,120.0
TUBA3E,VINBLASTINE,120.0
TUBA3D,VINBLASTINE,120.0
TUBA1C,VINBLASTINE,120.0
TUBA1B,VINBLASTINE,120.0
TUBA1A,VINBLASTINE,120.0
SRC,VINBLASTINE,120.0
TUBB8,VINBLASTINE,120.0
TUBB6,VINBLASTINE,120.0
TUBA4A,VINBLASTINE,120.0
TUBB2A,VINBLASTINE,120.0
TUBB2B,VINBLASTINE,120.0
TUBB4B,VINBLASTINE,120.0
TUBB3,VINBLASTINE,135.0
YES1,VINBLASTINE,135.0
AKT1,VINBLASTINE,165.0
TUBB1,VINBLASTINE,165.0
MET,VINBLASTINE,210.0
PTEN,VINBLASTINE,285.0
TYMS,VINBLASTINE,315.0
PIK3CA,VINBLASTINE,375.0
KRAS,VINBLASTINE,435.0
ACTB,IXABEPILONE,15.0
PRKD3,IXABEPILONE,15.0
AKT2,IXABEPILONE,30.0
UGT1A4,IXABEPILONE,30.0
UGT1A5,IXABEPILONE,30.0
SFTPA1,IXABEPILONE,30.0
PTPRC,IXABEPILONE,30.0
TSC1,IXABEPILONE,30.0
PIK3CB,IXABEPILONE,30.0
BTK,IXABEPILONE,30.0
LIMK1,IXABEPILONE,45.0
UGT1A8,IXABEPILONE,45.0
UGT1A6,IXABEPILONE,45.0
PIK3R2,IXABEPILONE,45.0
ATXN2,IXABEPILONE,45.0
FYN,IXABEPILONE,60.0
ATP7A,IXABEPILONE,60.0
NQO1,IXABEPILONE,75.0
PIK3CG,IXABEPILONE,75.0
JAK2,IXABEPILONE,75.0
LCK,IXABEPILONE,75.0
TUBA3C,IXABEPILONE,90.0
NRAS,IXABEPILONE,90.0
MTOR,IXABEPILONE,90.0
TUBB4A,IXABEPILONE,90.0
LYN,IXABEPILONE,105.0
HRAS,IXABEPILONE,120.0
UGT1A1,IXABEPILONE,120.0
TUBA3E,IXABEPILONE,120.0
TUBA3D,IXABEPILONE,120.0
TUBA1C,IXABEPILONE,120.0
TUBA1B,IXABEPILONE,120.0
TUBA1A,IXABEPILONE,120.0
SRC,IXABEPILONE,120.0
TUBB8,IXABEPILONE,120.0
TUBB6,IXABEPILONE,120.0
TUBA4A,IXABEPILONE,120.0
TUBB2A,IXABEPILONE,120.0
TUBB2B,IXABEPILONE,120.0
TUBB4B,IXABEPILONE,120.0
TUBB3,IXABEPILONE,135.0
YES1,IXABEPILONE,135.0
AKT1,IXABEPILONE,165.0
TUBB1,IXABEPILONE,165.0
MET,IXABEPILONE,210.0
PTEN,IXABEPILONE,285.0
TYMS,IXABEPILONE,315.0
PIK3CA,IXABEPILONE,375.0
KRAS,IXABEPILONE,435.0
ACTB,VINORELBINE,16.0
PRKD3,VINORELBINE,16.0
AKT2,VINORELBINE,32.0
UGT1A4,VINORELBINE,32.0
UGT1A5,VINORELBINE,32.0
SFTPA1,VINORELBINE,32.0
